,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len
117,117,22,0,"But now, she said, artists had come here.",but now  she said  artists had come here ,41,8
118,118,22,0,"There indeed, only a few paces off, stood one of them, in Panama hat and yellow boots, seriously, softly, absorbedly, for all that he was watched by ten little boys, with an air of profound contentment on his round red face gazing, and then, when he had gazed, dipping; imbuing the tip of his brush in some soft mound of green or pink.",there indeed  only a few paces off  stood one of them  in panama hat and yellow boots  seriously  softly  absorbedly  for all that he was watched by ten little boys  with an air of profound contentment on his round red face gazing  and then  when he had gazed  dipping  imbuing the tip of his brush in some soft mound of green or pink ,335,63
119,119,22,0,"Since Mr. Paunceforte had been there, three years before, all the pictures were like that, she said, green and grey, with lemon-coloured sailing-boats, and pink women on the beach.",since mr  paunceforte had been there  three years before  all the pictures were like that  she said  green and grey  with lemon coloured sailing boats  and pink women on the beach ,180,29
120,120,23,0,"But her grandmother's friends, she said, glancing discreetly as they passed, took the greatest pains; first they mixed their own colours, and then they ground them, and then they put damp cloths to keep them moist.",but her grandmother own friends  she said  glancing discreetly as they passed  took the greatest pains  first they mixed their own colours  and then they ground them  and then they put damp cloths to keep them moist ,214,36
121,121,24,0,"So Mr. Tansley supposed she meant him to see that that man's picture was skimpy, was that what one said?",so mr  tansley supposed she meant him to see that that man own picture was skimpy  was that what one said ,104,20
122,122,24,0,The colours weren't solid?,the colours were not solid ,26,4
123,123,24,0,Was that what one said?,was that what one said ,23,5
124,124,24,0,"Under the influence of that extraordinary emotion which had been growing all the walk, had begun in the garden when he had wanted to take her bag, had increased in the town when he had wanted to tell her everything about himself, he was coming to see himself, and everything he had ever known gone crooked a little.",under the influence of that extraordinary emotion which had been growing all the walk  had begun in the garden when he had wanted to take her bag  had increased in the town when he had wanted to tell her everything about himself  he was coming to see himself  and everything he had ever known gone crooked a little ,315,58
125,125,24,0,It was awfully strange.,it was awfully strange ,23,4
126,126,25,0,"There he stood in the parlour of the poky little house where she had taken him, waiting for her, while she went upstairs a moment to see a woman.",there he stood in the parlour of the poky little house where she had taken him  waiting for her  while she went upstairs a moment to see a woman ,145,29
127,127,25,0,"He heard her quick step above; heard her voice cheerful, then low; looked at the mats, tea-caddies, glass shades; waited quite impatiently; looked forward eagerly to the walk home; determined to carry her bag; then heard her come out; shut a door; say they must keep the windows open and the doors shut, ask at the house for anything they wanted (she must be talking to a child) when, suddenly, in she came, stood for a moment silent (as if she had been pretending up there, and for a moment let herself be now), stood quite motionless for a moment against a picture of Queen Victoria wearing the blue ribbon of the Garter; when all at once he realised that it was this: it was this: - she was the most beautiful person he had ever seen.",he heard her quick step above  heard her voice cheerful  then low  looked at the mats  tea caddies  glass shades  waited quite impatiently  looked forward eagerly to the walk home  determined to carry her bag  then heard her come out  shut a door  say they must keep the windows open and the doors shut  ask at the house for anything they wanted  she must be talking to a child  when  suddenly  in she came  stood for a moment silent  as if she had been pretending up there  and for a moment let herself be now   stood quite motionless for a moment against a picture of queen victoria wearing the blue ribbon of the garter  when all at once he realised that it was this  it was this    she was the most beautiful person he had ever seen ,737,137
128,128,26,0,"With stars in her eyes and veils in her hair, with cyclamen and wild violets - what nonsense was he thinking?",with stars in her eyes and veils in her hair  with cyclamen and wild violets   what nonsense was he thinking ,109,21
